"","trt","code","value","time","row","column","temperature","B12","bacteria","rep","combined.trt","dtime","type"
"44","B1","A22",151.2052,2024-02-23 11:31:00,"B",1,"22","1","0",1,"22 0 1 1",3.98333333333333,"1 0"
"45","B1","A22",35.2798,2024-02-29 11:03:00,"B",1,"22","1","0",1,"22 0 1 1",9.96388888888889,"1 0"
"46","B1","A22",127.2108,2024-02-24 11:06:00,"B",1,"22","1","0",1,"22 0 1 1",4.96597222222222,"1 0"
"47","B1","A22",89.379,2024-02-21 11:02:00,"B",1,"22","1","0",1,"22 0 1 1",1.96319444444444,"1 0"
"48","B1","A22",25.3814,2024-02-20 11:03:00,"B",1,"22","1","0",1,"22 0 1 1",0.963888888888889,"1 0"
"49","B1","A25",22.0348,2024-02-19 11:55:00,"B",1,"25","1","0",1,"25 0 1 1",0,"1 0"
"50","B1","A25",30.5298,2024-02-27 11:38:00,"B",1,"25","1","0",1,"25 0 1 1",7.98819444444444,"1 0"
"51","B1","A25",27.4156,2024-02-28 10:59:00,"B",1,"25","1","0",1,"25 0 1 1",8.96111111111111,"1 0"
"52","B1","A25",120.0142,2024-02-22 11:30:00,"B",1,"25","1","0",1,"25 0 1 1",2.98263888888889,"1 0"
"53","B1","A25",21.7258,2024-03-01 11:59:00,"B",1,"25","1","0",1,"25 0 1 1",11.0027777777778,"1 0"
"54","B1","A25",52.0176,2024-02-25 11:35:00,"B",1,"25","1","0",1,"25 0 1 1",5.98611111111111,"1 0"
"55","B1","A25",37.2138,2024-02-26 11:31:00,"B",1,"25","1","0",1,"25 0 1 1",6.98333333333333,"1 0"
"56","B1","A25",125.9934,2024-02-23 11:31:00,"B",1,"25","1","0",1,"25 0 1 1",3.98333333333333,"1 0"
"57","B1","A25",23.6314,2024-02-29 11:03:00,"B",1,"25","1","0",1,"25 0 1 1",9.96388888888889,"1 0"
"58","B1","A25",75.6444,2024-02-24 11:06:00,"B",1,"25","1","0",1,"25 0 1 1",4.96597222222222,"1 0"
"59","B1","A25",55.9238,2024-02-21 11:02:00,"B",1,"25","1","0",1,"25 0 1 1",1.96319444444444,"1 0"
"60","B1","A25",24.089,2024-02-20 11:03:00,"B",1,"25","1","0",1,"25 0 1 1",0.963888888888889,"1 0"
"61","B1","A27",17.953,2024-02-19 11:55:00,"B",1,"27","1","0",1,"27 0 1 1",0,"1 0"
"62","B1","A27",21.0838,2024-02-27 11:38:00,"B",1,"27","1","0",1,"27 0 1 1",7.98819444444444,"1 0"
"63","B1","A27",19.6126,2024-02-28 10:59:00,"B",1,"27","1","0",1,"27 0 1 1",8.96111111111111,"1 0"
"64","B1","A27",64.272,2024-02-22 11:30:00,"B",1,"27","1","0",1,"27 0 1 1",2.98263888888889,"1 0"
"65","B1","A27",17.362,2024-03-01 11:59:00,"B",1,"27","1","0",1,"27 0 1 1",11.0027777777778,"1 0"
"66","B1","A27",31.1744,2024-02-25 11:35:00,"B",1,"27","1","0",1,"27 0 1 1",5.98611111111111,"1 0"
"67","B1","A27",23.6238,2024-02-26 11:31:00,"B",1,"27","1","0",1,"27 0 1 1",6.98333333333333,"1 0"
"68","B1","A27",85.6234,2024-02-23 11:31:00,"B",1,"27","1","0",1,"27 0 1 1",3.98333333333333,"1 0"
"69","B1","A27",18.7766,2024-02-29 11:03:00,"B",1,"27","1","0",1,"27 0 1 1",9.96388888888889,"1 0"
"70","B1","A27",54.5306,2024-02-24 11:06:00,"B",1,"27","1","0",1,"27 0 1 1",4.96597222222222,"1 0"
"71","B1","A27",39.176,2024-02-21 11:02:00,"B",1,"27","1","0",1,"27 0 1 1",1.96319444444444,"1 0"
"72","B1","A27",17.2742,2024-02-20 11:03:00,"B",1,"27","1","0",1,"27 0 1 1",0.963888888888889,"1 0"
"73","B1","X13",24.8678,2024-02-19 11:55:00,"B",1,"13","1","1",1,"13 1 1 1",0,"1 1"
"74","B1","X13",97.1968,2024-02-27 11:38:00,"B",1,"13","1","1",1,"13 1 1 1",7.98819444444444,"1 1"
